City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
207,port elizabeth,ZA,-33.918,25.5701,71.89,83,0,13.8,clear sky
208,bull savanna,JM,17.8868,-77.5902,83.88,57,1,16.96,clear sky
209,nome,US,64.5011,-165.4064,24.87,36,0,10.36,clear sky
210,svrljig,RS,43.4133,22.1211,29.1,65,89,4.99,overcast clouds
211,caravelas,BR,-17.7125,-39.2481,84.25,62,99,7.9,overcast clouds
212,ancud,CL,-41.8697,-73.8203,70.23,66,0,7.72,clear sky
213,ormara,PK,25.2088,64.6357,76.05,73,27,9.69,scattered clouds
214,waingapu,ID,-9.6567,120.2641,79.29,86,85,3.53,overcast clouds
215,mayo,US,38.8876,-76.5119,62.2,63,0,10.36,clear sky
216,sibolga,ID,1.7427,98.7792,77.11,86,94,2.95,overcast clouds
217,provideniya,RU,64.3833,-173.3,17.35,49,0,13.2,clear sky
218,verkhnetulomskiy,RU,68.6073,31.7962,37.53,95,96,4.34,overcast clouds
219,lebu,CL,-37.6167,-73.65,64.47,69,0,18.28,clear sky
220,ambon,ID,-3.6954,128.1814,77.14,94,40,6.91,scattered clouds
221,udachnyy,RU,66.4167,112.4,-15.36,100,100,4.56,overcast clouds
222,san angelo,US,31.4638,-100.437,32.29,69,100,15.01,overcast clouds
223,tapiramuta,BR,-11.8472,-40.7914,78.73,61,97,8.61,overcast clouds
224,road town,VG,18.4167,-64.6167,84.29,58,20,12.66,few clouds
225,sri aman,MY,1.2376,111.4621,78.85,94,79,0.0,broken clouds
226,te anau,NZ,-45.4167,167.7167,52.11,91,100,5.82,overcast clouds
227,atambua,ID,-9.1061,124.8925,74.14,90,94,2.82,overcast clouds
228,ahipara,NZ,-35.1667,173.1667,61.21,89,11,5.28,few clouds
229,herat,AF,34.5,62.0,70.83,34,100,14.47,overcast clouds
230,bathsheba,BB,13.2167,-59.5167,83.01,57,20,24.16,few clouds
231,bella union,UY,-30.2752,-57.6007,73.35,46,75,14.94,broken clouds
232,iqaluit,CA,63.7506,-68.5145,-13.27,62,20,0.0,few clouds
233,husavik,IS,66.0449,-17.3389,39.56,78,84,14.7,broken clouds
234,jalu,LY,29.0331,21.5482,57.11,36,75,2.28,broken clouds
235,kutum,SD,14.2,24.6667,72.57,18,86,13.29,overcast clouds
236,dingle,PH,10.9995,122.6711,76.32,91,88,5.01,overcast clouds
237,tazovskiy,RU,67.4667,78.7,-20.42,100,14,6.58,few clouds
238,alpena,US,45.0617,-83.4327,31.1,46,0,5.99,clear sky
239,inta,RU,66.0317,60.1659,13.62,85,100,23.62,overcast clouds
240,jabinyanah,TN,35.035,10.9081,60.6,72,26,16.98,scattered clouds
241,northeim,DE,51.7,10.0,45.75,35,7,8.99,clear sky
242,la brea,HN,15.8,-85.9667,85.51,62,0,0.0,clear sky
243,tautira,PF,-17.7333,-149.15,80.37,71,36,10.8,scattered clouds
244,phan thiet,VN,10.9333,108.1,76.62,77,100,5.53,overcast clouds
245,evansville,US,37.9748,-87.5558,40.17,76,75,10.36,broken clouds
246,mina,MX,26.0011,-100.5299,84.22,11,3,8.59,clear sky
247,kupang,ID,-10.1667,123.5833,77.52,89,45,6.33,scattered clouds
248,aklavik,CA,68.2191,-135.0107,-13.0,77,100,2.3,overcast clouds
249,puerto leguizamo,CO,-0.1934,-74.7819,90.64,49,62,5.39,broken clouds
250,indramayu,ID,-6.3264,108.32,79.3,87,100,10.45,overcast clouds
251,alice springs,AU,-23.7,133.8833,60.35,55,0,0.0,clear sky
252,muros,ES,42.7762,-9.0603,55.09,64,99,13.4,overcast clouds
253,murchison,NZ,-41.8,172.3333,57.79,99,99,3.33,overcast clouds
254,cabo san lucas,MX,22.8909,-109.9124,76.6,58,0,1.01,clear sky
