City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,nsanje,MW,2022-03-11 06:55:19,-16.92,35.262,77.94,84,93,3.22
239,coquimbo,CL,2022-03-11 06:55:19,-29.9533,-71.3436,63.05,80,0,2.04
240,waingapu,ID,2022-03-11 06:55:19,-9.6567,120.2641,85.73,71,93,5.95
241,biak,ID,2022-03-11 06:55:20,-0.9131,122.8766,83.61,73,89,3.6
242,sorland,NO,2022-03-11 06:55:20,67.667,12.6934,42.66,87,100,23.69
243,fort nelson,CA,2022-03-11 06:55:21,58.8053,-122.7002,8.19,61,100,5.75
244,nhulunbuy,AU,2022-03-11 06:55:21,-12.2333,136.7667,92.01,58,20,10.36
245,villablino,ES,2022-03-11 06:55:22,42.9393,-6.3194,40.77,92,100,7.2
246,bambanglipuro,ID,2022-03-11 06:55:22,-7.95,110.2833,85.01,71,57,8.48
247,benghazi,LY,2022-03-11 06:50:58,32.1167,20.0667,55.78,53,33,12.24
248,olafsvik,IS,2022-03-11 06:55:23,64.8945,-23.7142,41.16,89,100,18.37
249,salina,US,2022-03-11 06:54:57,38.8403,-97.6114,18.3,89,100,6.44
250,jalpan,MX,2022-03-11 06:55:23,21.2333,-99.4833,67.28,34,5,4.29
251,cherskiy,RU,2022-03-11 06:53:08,68.75,161.3,7.97,85,93,4.41
252,araouane,ML,2022-03-11 06:55:24,18.9048,-3.5265,65.21,17,3,15.01
253,maraa,BR,2022-03-11 06:55:24,-1.8333,-65.3667,71.92,98,99,2.44
254,anchorage,US,2022-03-11 06:50:57,61.2181,-149.9003,35.28,93,100,4.61
255,shingu,JP,2022-03-11 06:55:24,33.7333,135.9833,60.15,61,100,9.95
256,puerto escondido,MX,2022-03-11 06:55:25,15.85,-97.0667,75.99,74,0,6.91
257,otjimbingwe,NA,2022-03-11 06:55:25,-22.35,16.1333,80.83,49,2,13.67
258,bilibino,RU,2022-03-11 06:55:25,68.0546,166.4372,-2.04,78,0,5.39
259,gagarin,RU,2022-03-11 06:51:04,55.5529,34.9954,19.47,79,99,5.32
260,hoopstad,ZA,2022-03-11 06:55:26,-27.8327,25.9083,72.91,64,2,12.5
261,san policarpo,PH,2022-03-11 06:55:26,12.1791,125.5072,80.11,87,99,12.03
262,emba,KZ,2022-03-11 06:55:26,48.8264,58.1442,22.68,87,100,16.84
263,berlevag,NO,2022-03-11 06:55:27,70.8578,29.0864,39.2,70,75,23.02
264,pandan,PH,2022-03-11 06:55:27,14.0453,124.1694,82.51,74,51,9.08
265,solvychegodsk,RU,2022-03-11 06:55:27,61.3305,46.9156,19.22,89,100,10.83
266,hasaki,JP,2022-03-11 06:55:28,35.7333,140.8333,64.8,58,6,21.68
267,alihe,CN,2022-03-11 06:55:28,50.5667,123.7167,29.5,41,6,11.34
268,sorong,ID,2022-03-11 06:55:29,-0.8833,131.25,83.64,72,100,0.96
269,plessisville,CA,2022-03-11 06:55:29,46.2186,-71.762,18.09,93,100,1.97
270,mandera,KE,2022-03-11 06:55:29,3.9366,41.867,87.39,37,100,10.58
271,harper,LR,2022-03-11 06:55:30,4.375,-7.7169,79.43,89,100,6.24
272,kondinskoye,RU,2022-03-11 06:55:30,59.6481,67.41,0.21,91,92,3.76
273,ugoofaaru,MV,2022-03-11 06:55:31,5.6667,73.0,82.9,72,15,7.14
274,nokha,IN,2022-03-11 06:55:31,27.6,73.4167,87.24,17,0,2.98
275,puerto leguizamo,CO,2022-03-11 06:55:31,-0.1934,-74.7819,72.43,92,38,0.78
276,inongo,CD,2022-03-11 06:55:31,-1.95,18.2667,71.85,91,100,5.26
277,olonets,RU,2022-03-11 06:55:32,60.9847,32.9698,27.12,95,100,8.88
278,longonjo,AO,2022-03-11 06:55:32,-12.9067,15.2533,68.31,85,92,1.19
279,cabo san lucas,MX,2022-03-11 06:50:39,22.8909,-109.9124,65.52,65,3,5.01
280,manga,BF,2022-03-11 06:55:32,11.6636,-1.0731,82.44,8,60,6.85
281,margate,GB,2022-03-11 06:55:33,51.3813,1.3862,47.3,77,54,5.01
282,sosua,DO,2022-03-11 06:55:33,19.7667,-70.5167,75.18,100,20,0.0
283,palu,ID,2022-03-11 06:55:33,-0.8917,119.8707,86.83,77,86,3.27
284,kargopol,RU,2022-03-11 06:55:34,61.5071,38.9456,23.25,93,100,7.07
285,hambantota,LK,2022-03-11 06:55:34,6.1241,81.1185,93.54,52,40,5.75
286,itarema,BR,2022-03-11 06:55:34,-2.9248,-39.9167,76.96,84,100,3.51
287,tabou,CI,2022-03-11 06:55:35,4.423,-7.3528,78.6,92,100,5.99
288,eydhafushi,MV,2022-03-11 06:55:35,5.1033,73.0708,82.49,73,6,6.22
289,nouadhibou,MR,2022-03-11 06:55:35,20.931,-17.0347,60.78,77,0,20.71
290,mwinilunga,ZM,2022-03-11 06:55:35,-11.7358,24.4293,67.91,92,83,5.84
291,wilkie,CA,2022-03-11 06:55:36,52.4168,-108.7014,-12.62,81,99,5.66
292,sola,VU,2022-03-11 06:55:36,-13.8833,167.55,82.62,74,100,8.46
293,nakamura,JP,2022-03-11 06:55:37,32.9833,132.9333,64.35,46,100,6.78
294,sambava,MG,2022-03-11 06:55:37,-14.2667,50.1667,83.3,71,54,9.73
295,lexington park,US,2022-03-11 06:55:37,38.2668,-76.4538,41.67,95,0,0.0
296,zeya,RU,2022-03-11 06:55:38,53.75,127.2667,25.07,66,100,8.32
297,piacabucu,BR,2022-03-11 06:55:38,-10.4056,-36.4344,76.91,83,65,5.39
298,moron,AR,2022-03-11 06:55:38,-34.6534,-58.6198,62.98,89,0,4.05
299,muros,ES,2022-03-11 06:53:50,42.7762,-9.0603,53.1,81,98,17.18
300,saint-francois,FR,2022-03-11 06:55:39,46.4154,3.9054,50.68,66,0,18.41
301,murmino,RU,2022-03-11 06:55:39,54.6036,40.0544,23.95,73,12,4.65
302,airai,TL,2022-03-11 06:55:39,-8.9266,125.4092,70.07,82,93,1.66
